"","data2.District.Name","data2.School.Name","data2.Population","data2.Disaggregated","data2.Assessment","data2.Achievement.Level"
"502689","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Students with Disabilities","Other","Mathematics","Above State Expectations"
"502690","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Economically Disadvantaged","Other","Mathematics","At or Above State Expectations"
"502691","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Black or African American","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"502692","Lewiston Public Schools","Thomas J McMahon Elementary Sch","All Students","All Students","Mathematics","At or Above State Expectations"
"502693","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Asian","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"502694","Lewiston Public Schools","Thomas J McMahon Elementary Sch","White","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"502695","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Homeless","Other","Mathematics","At or Above State Expectations"
"502696","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"502697","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Two or More Races","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"502824","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Female","Sex","Mathematics","At or Above State Expectations"
"502825","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners (Monitoring)","Other","Mathematics","At or Above State Expectations"
"502826","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Male","Sex","Mathematics","At or Above State Expectations"
"502827","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners","Other","Mathematics","At or Above State Expectations"
"502828","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Students with Disabilities","Other","Mathematics","At or Above State Expectations"
"502829","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Economically Disadvantaged","Other","Mathematics","Below or Well Below State Expectations"
"502830","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Black or African American","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"502831","Lewiston Public Schools","Thomas J McMahon Elementary Sch","All Students","All Students","Mathematics","Below or Well Below State Expectations"
"502832","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Asian","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"502833","Lewiston Public Schools","Thomas J McMahon Elementary Sch","White","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"502834","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Homeless","Other","Mathematics","Below or Well Below State Expectations"
"502835","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"502836","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Two or More Races","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"502837","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Female","Sex","Mathematics","Below or Well Below State Expectations"
"502838","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners (Monitoring)","Other","Mathematics","Below or Well Below State Expectations"
"502839","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Male","Sex","Mathematics","Below or Well Below State Expectations"
"502840","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners","Other","Mathematics","Below or Well Below State Expectations"
"502841","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Students with Disabilities","Other","Mathematics","Below or Well Below State Expectations"
"502842","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Economically Disadvantaged","Other","English Language Arts","Well Below State Expectations"
"502843","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Black or African American","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"502844","Lewiston Public Schools","Thomas J McMahon Elementary Sch","All Students","All Students","English Language Arts","Well Below State Expectations"
"502845","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Asian","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"502846","Lewiston Public Schools","Thomas J McMahon Elementary Sch","White","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"502847","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Homeless","Other","English Language Arts","Well Below State Expectations"
"502977","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"502978","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Two or More Races","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"502979","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Female","Sex","English Language Arts","Well Below State Expectations"
"502980","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners (Monitoring)","Other","English Language Arts","Well Below State Expectations"
"502981","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Male","Sex","English Language Arts","Well Below State Expectations"
"502982","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners","Other","English Language Arts","Well Below State Expectations"
"502983","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Students with Disabilities","Other","English Language Arts","Well Below State Expectations"
"502984","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Economically Disadvantaged","Other","English Language Arts","Below State Expectations"
"502985","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Black or African American","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"502986","Lewiston Public Schools","Thomas J McMahon Elementary Sch","All Students","All Students","English Language Arts","Below State Expectations"
"502987","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Asian","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"502988","Lewiston Public Schools","Thomas J McMahon Elementary Sch","White","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"502989","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Homeless","Other","English Language Arts","Below State Expectations"
"502990","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"502991","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Two or More Races","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"502992","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Female","Sex","English Language Arts","Below State Expectations"
"502993","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners (Monitoring)","Other","English Language Arts","Below State Expectations"
"502994","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Male","Sex","English Language Arts","Below State Expectations"
"502995","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners","Other","English Language Arts","Below State Expectations"
"502996","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Students with Disabilities","Other","English Language Arts","Below State Expectations"
"502997","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Economically Disadvantaged","Other","English Language Arts","At State Expectations"
"502998","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Black or African American","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"502999","Lewiston Public Schools","Thomas J McMahon Elementary Sch","All Students","All Students","English Language Arts","At State Expectations"
"503123","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Asian","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"503124","Lewiston Public Schools","Thomas J McMahon Elementary Sch","White","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"503125","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Homeless","Other","English Language Arts","At State Expectations"
"503126","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"503127","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Two or More Races","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"503128","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Female","Sex","English Language Arts","At State Expectations"
"503129","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners (Monitoring)","Other","English Language Arts","At State Expectations"
"503130","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Male","Sex","English Language Arts","At State Expectations"
"503131","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners","Other","English Language Arts","At State Expectations"
"503132","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Students with Disabilities","Other","English Language Arts","At State Expectations"
"503133","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Economically Disadvantaged","Other","English Language Arts","Above State Expectations"
"503134","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Black or African American","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"503135","Lewiston Public Schools","Thomas J McMahon Elementary Sch","All Students","All Students","English Language Arts","Above State Expectations"
"503136","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Asian","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"503137","Lewiston Public Schools","Thomas J McMahon Elementary Sch","White","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"503138","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Homeless","Other","English Language Arts","Above State Expectations"
"503139","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"503140","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Two or More Races","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"503141","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Female","Sex","English Language Arts","Above State Expectations"
"503142","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners (Monitoring)","Other","English Language Arts","Above State Expectations"
"503143","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Male","Sex","English Language Arts","Above State Expectations"
"503144","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners","Other","English Language Arts","Above State Expectations"
"503256","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Students with Disabilities","Other","English Language Arts","Above State Expectations"
"503257","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Economically Disadvantaged","Other","English Language Arts","At or Above State Expectations"
"503258","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Black or African American","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"503259","Lewiston Public Schools","Thomas J McMahon Elementary Sch","All Students","All Students","English Language Arts","At or Above State Expectations"
"503260","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Asian","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"503261","Lewiston Public Schools","Thomas J McMahon Elementary Sch","White","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"503262","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Homeless","Other","English Language Arts","At or Above State Expectations"
"503263","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"503264","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Two or More Races","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"503265","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Female","Sex","English Language Arts","At or Above State Expectations"
"503266","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners (Monitoring)","Other","English Language Arts","At or Above State Expectations"
"503267","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Male","Sex","English Language Arts","At or Above State Expectations"
"503268","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners","Other","English Language Arts","At or Above State Expectations"
"503269","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Students with Disabilities","Other","English Language Arts","At or Above State Expectations"
"503270","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Economically Disadvantaged","Other","English Language Arts","Below or Well Below State Expectations"
"503271","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Black or African American","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"503272","Lewiston Public Schools","Thomas J McMahon Elementary Sch","All Students","All Students","English Language Arts","Below or Well Below State Expectations"
"503273","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Asian","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"503274","Lewiston Public Schools","Thomas J McMahon Elementary Sch","White","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"503275","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Homeless","Other","English Language Arts","Below or Well Below State Expectations"
"503276","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"503277","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Two or More Races","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"503278","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Female","Sex","English Language Arts","Below or Well Below State Expectations"
"503279","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners (Monitoring)","Other","English Language Arts","Below or Well Below State Expectations"
"503280","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Male","Sex","English Language Arts","Below or Well Below State Expectations"
"503392","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners","Other","English Language Arts","Below or Well Below State Expectations"
"503393","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Students with Disabilities","Other","English Language Arts","Below or Well Below State Expectations"
"503394","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Economically Disadvantaged","Other","Science","Well Below State Expectations"
"503395","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Black or African American","Racial/Ethnic Diversity","Science","Well Below State Expectations"
"503396","Lewiston Public Schools","Thomas J McMahon Elementary Sch","All Students","All Students","Science","Well Below State Expectations"
"503397","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Asian","Racial/Ethnic Diversity","Science","Well Below State Expectations"
"503398","Lewiston Public Schools","Thomas J McMahon Elementary Sch","White","Racial/Ethnic Diversity","Science","Well Below State Expectations"
"503399","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Two or More Races","Racial/Ethnic Diversity","Science","Well Below State Expectations"
"503400","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Female","Sex","Science","Well Below State Expectations"
"503401","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners (Monitoring)","Other","Science","Well Below State Expectations"
"503402","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Male","Sex","Science","Well Below State Expectations"
"503403","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners","Other","Science","Well Below State Expectations"
"503404","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Students with Disabilities","Other","Science","Well Below State Expectations"
"503405","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Economically Disadvantaged","Other","Science","Below State Expectations"
"503406","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Black or African American","Racial/Ethnic Diversity","Science","Below State Expectations"
"503407","Lewiston Public Schools","Thomas J McMahon Elementary Sch","All Students","All Students","Science","Below State Expectations"
"503408","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Asian","Racial/Ethnic Diversity","Science","Below State Expectations"
"503409","Lewiston Public Schools","Thomas J McMahon Elementary Sch","White","Racial/Ethnic Diversity","Science","Below State Expectations"
"503410","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Two or More Races","Racial/Ethnic Diversity","Science","Below State Expectations"
"503411","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Female","Sex","Science","Below State Expectations"
"503514","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners (Monitoring)","Other","Science","Below State Expectations"
"503515","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Male","Sex","Science","Below State Expectations"
"503516","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners","Other","Science","Below State Expectations"
"503517","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Students with Disabilities","Other","Science","Below State Expectations"
"503518","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Economically Disadvantaged","Other","Science","At State Expectations"
"503519","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Black or African American","Racial/Ethnic Diversity","Science","At State Expectations"
"503520","Lewiston Public Schools","Thomas J McMahon Elementary Sch","All Students","All Students","Science","At State Expectations"
"503521","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Asian","Racial/Ethnic Diversity","Science","At State Expectations"
"503522","Lewiston Public Schools","Thomas J McMahon Elementary Sch","White","Racial/Ethnic Diversity","Science","At State Expectations"
"503523","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Two or More Races","Racial/Ethnic Diversity","Science","At State Expectations"
"503524","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Female","Sex","Science","At State Expectations"
"503525","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners (Monitoring)","Other","Science","At State Expectations"
"503526","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Male","Sex","Science","At State Expectations"
"503527","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners","Other","Science","At State Expectations"
"503528","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Students with Disabilities","Other","Science","At State Expectations"
"503529","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Economically Disadvantaged","Other","Science","Above State Expectations"
"503530","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Black or African American","Racial/Ethnic Diversity","Science","Above State Expectations"
"503531","Lewiston Public Schools","Thomas J McMahon Elementary Sch","All Students","All Students","Science","Above State Expectations"
"503532","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Asian","Racial/Ethnic Diversity","Science","Above State Expectations"
"503533","Lewiston Public Schools","Thomas J McMahon Elementary Sch","White","Racial/Ethnic Diversity","Science","Above State Expectations"
"503620","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Two or More Races","Racial/Ethnic Diversity","Science","Above State Expectations"
"503621","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Female","Sex","Science","Above State Expectations"
"503622","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners (Monitoring)","Other","Science","Above State Expectations"
"503623","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Male","Sex","Science","Above State Expectations"
"503624","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners","Other","Science","Above State Expectations"
"503625","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Students with Disabilities","Other","Science","Above State Expectations"
"503626","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Economically Disadvantaged","Other","Science","At or Above State Expectations"
"503627","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Black or African American","Racial/Ethnic Diversity","Science","At or Above State Expectations"
"503628","Lewiston Public Schools","Thomas J McMahon Elementary Sch","All Students","All Students","Science","At or Above State Expectations"
"503629","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Asian","Racial/Ethnic Diversity","Science","At or Above State Expectations"
"503630","Lewiston Public Schools","Thomas J McMahon Elementary Sch","White","Racial/Ethnic Diversity","Science","At or Above State Expectations"
"503631","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Two or More Races","Racial/Ethnic Diversity","Science","At or Above State Expectations"
"503632","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Female","Sex","Science","At or Above State Expectations"
"503633","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners (Monitoring)","Other","Science","At or Above State Expectations"
"503634","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Male","Sex","Science","At or Above State Expectations"
"503635","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners","Other","Science","At or Above State Expectations"
"503636","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Students with Disabilities","Other","Science","At or Above State Expectations"
"503637","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Economically Disadvantaged","Other","Science","Below or Well Below State Expectations"
"503638","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Black or African American","Racial/Ethnic Diversity","Science","Below or Well Below State Expectations"
"503639","Lewiston Public Schools","Thomas J McMahon Elementary Sch","All Students","All Students","Science","Below or Well Below State Expectations"
"503640","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Asian","Racial/Ethnic Diversity","Science","Below or Well Below State Expectations"
"503641","Lewiston Public Schools","Thomas J McMahon Elementary Sch","White","Racial/Ethnic Diversity","Science","Below or Well Below State Expectations"
"503756","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Two or More Races","Racial/Ethnic Diversity","Science","Below or Well Below State Expectations"
"503757","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Female","Sex","Science","Below or Well Below State Expectations"
"503758","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners (Monitoring)","Other","Science","Below or Well Below State Expectations"
"503759","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Male","Sex","Science","Below or Well Below State Expectations"
"503760","Lewiston Public Schools","Thomas J McMahon Elementary Sch","English Learners","Other","Science","Below or Well Below State Expectations"
"503761","Lewiston Public Schools","Thomas J McMahon Elementary Sch","Students with Disabilities","Other","Science","Below or Well Below State Expectations"
"503762","Lewiston Public Schools","Lewiston Middle School","Economically Disadvantaged","Other","Mathematics","Well Below State Expectations"
"503763","Lewiston Public Schools","Lewiston Middle School","Black or African American","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"503764","Lewiston Public Schools","Lewiston Middle School","All Students","All Students","Mathematics","Well Below State Expectations"
"503765","Lewiston Public Schools","Lewiston Middle School","Asian","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"503766","Lewiston Public Schools","Lewiston Middle School","White","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"503767","Lewiston Public Schools","Lewiston Middle School","Homeless","Other","Mathematics","Well Below State Expectations"
"503768","Lewiston Public Schools","Lewiston Middle School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"503769","Lewiston Public Schools","Lewiston Middle School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"503770","Lewiston Public Schools","Lewiston Middle School","Female","Sex","Mathematics","Well Below State Expectations"
"503771","Lewiston Public Schools","Lewiston Middle School","English Learners (Monitoring)","Other","Mathematics","Well Below State Expectations"
"503772","Lewiston Public Schools","Lewiston Middle School","Male","Sex","Mathematics","Well Below State Expectations"
"503773","Lewiston Public Schools","Lewiston Middle School","English Learners","Other","Mathematics","Well Below State Expectations"
"503774","Lewiston Public Schools","Lewiston Middle School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"503775","Lewiston Public Schools","Lewiston Middle School","Students with Disabilities","Other","Mathematics","Well Below State Expectations"
"503776","Lewiston Public Schools","Lewiston Middle School","Economically Disadvantaged","Other","Mathematics","Below State Expectations"
"503777","Lewiston Public Schools","Lewiston Middle School","Black or African American","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"503778","Lewiston Public Schools","Lewiston Middle School","All Students","All Students","Mathematics","Below State Expectations"
"503779","Lewiston Public Schools","Lewiston Middle School","Asian","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"503780","Lewiston Public Schools","Lewiston Middle School","White","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"503891","Lewiston Public Schools","Lewiston Middle School","Homeless","Other","Mathematics","Below State Expectations"
"503892","Lewiston Public Schools","Lewiston Middle School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"503893","Lewiston Public Schools","Lewiston Middle School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"503894","Lewiston Public Schools","Lewiston Middle School","Female","Sex","Mathematics","Below State Expectations"
"503895","Lewiston Public Schools","Lewiston Middle School","English Learners (Monitoring)","Other","Mathematics","Below State Expectations"
"503896","Lewiston Public Schools","Lewiston Middle School","Male","Sex","Mathematics","Below State Expectations"
"503897","Lewiston Public Schools","Lewiston Middle School","English Learners","Other","Mathematics","Below State Expectations"
"503898","Lewiston Public Schools","Lewiston Middle School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"503899","Lewiston Public Schools","Lewiston Middle School","Students with Disabilities","Other","Mathematics","Below State Expectations"
"503900","Lewiston Public Schools","Lewiston Middle School","Economically Disadvantaged","Other","Mathematics","At State Expectations"
"503901","Lewiston Public Schools","Lewiston Middle School","Black or African American","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"503902","Lewiston Public Schools","Lewiston Middle School","All Students","All Students","Mathematics","At State Expectations"
"503903","Lewiston Public Schools","Lewiston Middle School","Asian","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"503904","Lewiston Public Schools","Lewiston Middle School","White","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"503905","Lewiston Public Schools","Lewiston Middle School","Homeless","Other","Mathematics","At State Expectations"
"503906","Lewiston Public Schools","Lewiston Middle School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"503907","Lewiston Public Schools","Lewiston Middle School","Two or More Races","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"503908","Lewiston Public Schools","Lewiston Middle School","Female","Sex","Mathematics","At State Expectations"
"503909","Lewiston Public Schools","Lewiston Middle School","English Learners (Monitoring)","Other","Mathematics","At State Expectations"
"503910","Lewiston Public Schools","Lewiston Middle School","Male","Sex","Mathematics","At State Expectations"
"503911","Lewiston Public Schools","Lewiston Middle School","English Learners","Other","Mathematics","At State Expectations"
"503912","Lewiston Public Schools","Lewiston Middle School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"503913","Lewiston Public Schools","Lewiston Middle School","Students with Disabilities","Other","Mathematics","At State Expectations"
"503914","Lewiston Public Schools","Lewiston Middle School","Economically Disadvantaged","Other","Mathematics","Above State Expectations"
"503915","Lewiston Public Schools","Lewiston Middle School","Black or African American","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"503916","Lewiston Public Schools","Lewiston Middle School","All Students","All Students","Mathematics","Above State Expectations"
"503917","Lewiston Public Schools","Lewiston Middle School","Asian","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"504032","Lewiston Public Schools","Lewiston Middle School","White","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"504033","Lewiston Public Schools","Lewiston Middle School","Homeless","Other","Mathematics","Above State Expectations"
"504034","Lewiston Public Schools","Lewiston Middle School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"504035","Lewiston Public Schools","Lewiston Middle School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"504036","Lewiston Public Schools","Lewiston Middle School","Female","Sex","Mathematics","Above State Expectations"
"504037","Lewiston Public Schools","Lewiston Middle School","English Learners (Monitoring)","Other","Mathematics","Above State Expectations"
"504038","Lewiston Public Schools","Lewiston Middle School","Male","Sex","Mathematics","Above State Expectations"
"504039","Lewiston Public Schools","Lewiston Middle School","English Learners","Other","Mathematics","Above State Expectations"
"504040","Lewiston Public Schools","Lewiston Middle School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"504041","Lewiston Public Schools","Lewiston Middle School","Students with Disabilities","Other","Mathematics","Above State Expectations"
"504042","Lewiston Public Schools","Lewiston Middle School","Economically Disadvantaged","Other","Mathematics","At or Above State Expectations"
"504043","Lewiston Public Schools","Lewiston Middle School","Black or African American","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"504044","Lewiston Public Schools","Lewiston Middle School","All Students","All Students","Mathematics","At or Above State Expectations"
"504045","Lewiston Public Schools","Lewiston Middle School","Asian","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"504046","Lewiston Public Schools","Lewiston Middle School","White","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"504047","Lewiston Public Schools","Lewiston Middle School","Homeless","Other","Mathematics","At or Above State Expectations"
